,X,Y,Speed,Boosts,Mud_0,Mud_1,Mud_2,Mud_3,Speed_0,Speed_1,Speed_2,Speed_3,Move,Mud_Through,Objective
17972,1231,0,8,3,0,3,2,2,0,0,0,0,3,0,3
17973,1246,0,15,2,1,2,0,1,0,0,2,0,2,0,8
17974,1260,1,15,2,1,4,5,1,0,1,3,0,2,2,9
17975,1274,2,8,5,2,4,5,1,0,0,0,0,3,5,10
17976,1289,2,3,4,1,1,4,2,0,0,0,0,3,1,4
17977,1304,2,9,3,0,3,5,2,0,0,0,0,3,4,7
17978,1319,2,3,2,1,3,2,3,0,0,0,0,3,2,4
17979,1334,2,8,1,0,3,2,4,0,0,0,0,0,0,4
17980,1343,2,9,1,0,1,2,2,0,1,0,0,0,2,5
17981,1352,2,6,1,2,0,2,1,0,1,1,1,3,1,1
17982,1367,2,9,1,1,0,2,2,0,0,0,1,1,0,7
17983,1375,1,9,1,3,0,1,2,0,0,0,0,3,0,5
17984,1390,1,15,0,6,1,2,6,0,0,1,0,2,2,9
17985,1404,2,8,0,4,0,1,2,1,0,1,0,0,0,3
17986,1413,2,9,1,1,0,3,0,1,0,0,0,2,0,6
17987,1421,3,9,1,1,2,2,1,2,0,0,0,0,0,1
17988,1430,3,9,1,1,3,1,1,2,0,0,0,0,1,6
17989,1439,3,8,1,2,1,2,1,2,0,0,0,3,0,5
17990,1454,3,15,0,1,2,4,1,0,1,0,0,0,1,10
17991,1469,3,9,0,1,2,2,1,0,0,0,0,0,0,10
17992,1478,3,9,0,3,1,2,2,0,0,0,0,0,1,9
17993,1487,3,8,0,3,0,1,1,0,0,0,0,0,0,8
17994,0,0,5,0,2,1,0,1,1,0,0,1,0,0,4
17995,6,0,6,0,3,2,0,2,1,0,0,2,0,2,4
17996,14,0,3,0,1,2,0,2,1,0,0,2,0,0,1
17997,20,0,6,1,3,3,0,4,0,0,0,1,3,2,5
17998,35,0,8,0,1,2,3,4,0,0,0,0,0,1,3
17999,44,0,8,0,0,1,5,3,1,1,0,1,2,0,7
18000,51,1,8,0,1,2,4,4,1,1,0,1,0,0,4
18001,60,1,9,1,1,3,2,2,1,0,0,0,2,2,7
18002,68,2,6,1,1,1,3,1,0,0,0,0,3,1,5
18003,83,2,9,0,2,2,3,2,0,0,0,0,2,1,6
18004,91,3,8,0,2,2,3,2,0,0,0,0,0,1,5
18005,100,3,8,0,1,4,2,3,0,0,0,0,0,1,8
18006,109,3,8,0,0,4,3,2,0,1,0,0,0,1,9
18007,118,3,8,0,2,2,2,2,0,1,0,0,1,1,4
18008,125,2,6,0,3,2,1,2,0,1,0,0,1,1,5
18009,130,1,3,1,5,2,0,2,0,0,0,0,3,1,2
18010,145,1,9,0,2,5,1,2,1,0,0,0,1,2,4
18011,153,0,6,0,1,4,1,3,1,0,0,0,0,0,3
18012,161,0,8,0,1,1,1,4,1,0,0,0,0,0,4
18013,170,0,9,1,2,1,0,2,0,0,0,0,0,1,10
18014,179,0,8,1,4,3,1,2,0,0,0,0,0,1,6
18015,188,0,8,1,4,4,2,2,0,0,0,0,0,3,5
18016,197,0,3,1,2,5,2,2,0,0,0,0,3,2,1
18017,212,0,8,0,1,2,2,2,1,0,0,1,0,0,9
18018,221,0,9,0,4,2,3,1,1,0,0,1,0,1,6
18019,230,0,8,1,3,1,2,0,0,0,0,0,0,3,5
18020,239,0,3,1,3,0,3,1,0,1,0,0,3,2,3
18021,254,0,8,0,2,2,4,3,0,1,0,1,2,0,7
18022,261,1,8,1,2,3,3,3,0,0,0,1,0,2,5
18023,270,1,6,1,5,3,2,2,0,0,0,1,0,1,1
18024,278,1,6,1,5,2,1,2,0,1,0,1,3,2,4
18025,293,1,8,1,6,0,0,2,0,0,0,0,3,0,5
18026,308,1,15,0,4,1,3,2,0,0,0,0,0,1,10
18027,323,1,9,0,1,1,1,1,0,0,0,0,0,0,8
18028,332,1,9,0,1,1,2,1,1,0,0,0,0,1,4
18029,341,1,8,0,2,1,3,3,2,0,0,1,1,1,7
18030,348,0,6,1,1,1,2,2,1,0,0,1,3,1,5
18031,363,0,9,1,3,2,1,2,1,0,1,0,3,3,6
18032,378,0,6,1,2,2,2,3,0,0,0,0,3,2,3
18033,393,0,8,0,2,1,2,3,0,2,0,0,0,0,3
18034,402,0,9,0,3,1,3,1,0,2,0,0,2,0,8
18035,410,1,9,1,2,2,5,3,0,1,0,0,3,1,6
18036,425,1,9,1,4,3,2,2,0,0,0,0,2,2,6
18037,433,2,6,1,3,1,2,2,0,0,0,0,3,1,5
18038,448,2,9,0,2,2,4,5,0,0,0,1,1,0,8
18039,456,1,9,0,3,2,1,3,0,0,0,1,2,1,8
18040,464,2,8,0,4,3,1,2,0,0,0,1,2,1,4
18041,471,3,6,1,3,2,2,1,0,0,0,0,0,1,5
18042,479,3,6,1,4,1,1,2,0,0,0,0,3,1,5
18043,494,3,9,0,5,2,3,3,0,0,0,0,0,1,9
18044,503,3,8,0,4,3,4,3,1,0,0,0,0,1,5
18045,512,3,8,0,1,3,1,4,1,0,0,0,1,1,4
18046,519,2,6,0,0,3,0,5,0,0,0,0,0,0,3
18047,527,2,8,0,3,4,0,3,0,0,0,0,0,0,4
18048,536,2,9,0,4,4,0,1,0,0,0,0,0,0,5
18049,545,2,9,0,3,3,0,2,0,0,1,0,0,0,5
18050,554,2,9,0,2,3,1,2,0,0,1,0,0,0,5
18051,563,2,9,0,1,1,2,4,0,0,1,0,0,1,8
18052,572,2,8,1,1,1,3,6,0,0,0,0,0,1,10
18053,581,2,8,1,0,3,4,5,0,0,0,0,0,2,1
18054,590,2,6,1,1,3,2,2,0,0,0,0,0,2,4
18055,598,2,3,1,1,2,0,2,0,0,0,0,3,0,1
18056,613,2,15,0,1,0,2,4,0,0,1,0,0,2,5
18057,628,2,8,1,2,0,3,2,0,0,0,0,1,0,1
18058,635,1,8,1,1,0,4,1,0,0,0,0,3,0,4
18059,650,1,15,0,2,1,3,3,0,0,0,1,0,0,9
18060,665,1,15,0,2,4,0,3,1,0,0,1,1,1,5
18061,679,0,9,1,1,4,3,3,0,0,0,0,0,1,6
18062,688,0,8,1,0,2,5,1,0,0,0,0,3,0,4
18063,703,0,15,0,2,2,4,2,0,0,1,1,2,1,5
18064,717,1,9,0,2,3,0,0,0,0,1,1,2,0,5
18065,725,2,9,1,1,2,0,1,2,0,1,0,3,0,1
